Postcode,Country Code,Gma,GmaCanonicalName,CityCanonicalName
48050,US,505,"Detroit,Michigan,United States","New Haven,Michigan,United States"
48051,US,505,"Detroit,Michigan,United States","New Baltimore,Michigan,United States"
48054,US,505,"Detroit,Michigan,United States","East China,Michigan,United States"
48059,US,505,"Detroit,Michigan,United States","Fort Gratiot Township,Michigan,United States"
48060,US,505,"Detroit,Michigan,United States","Port Huron,Michigan,United States"
48061,US,505,"Detroit,Michigan,United States","Port Huron,Michigan,United States"
48062,US,505,"Detroit,Michigan,United States","Richmond,Michigan,United States"
48065,US,505,"Detroit,Michigan,United States","Romeo,Michigan,United States"
48066,US,505,"Detroit,Michigan,United States","Roseville,Michigan,United States"
48067,US,505,"Detroit,Michigan,United States","Royal Oak,Michigan,United States"
48068,US,505,"Detroit,Michigan,United States","Royal Oak,Michigan,United States"
48069,US,505,"Detroit,Michigan,United States","Pleasant Ridge,Michigan,United States"
48070,US,505,"Detroit,Michigan,United States","Huntington Woods,Michigan,United States"
48071,US,505,"Detroit,Michigan,United States","Madison Heights,Michigan,United States"
48072,US,505,"Detroit,Michigan,United States","Berkley,Michigan,United States"
48073,US,505,"Detroit,Michigan,United States","Royal Oak,Michigan,United States"
48074,US,505,"Detroit,Michigan,United States","Smiths Creek,Michigan,United States"
48075,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48076,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48079,US,505,"Detroit,Michigan,United States","Saint Clair,Michigan,United States"
48080,US,505,"Detroit,Michigan,United States","Saint Clair Shores,Michigan,United States"
48081,US,505,"Detroit,Michigan,United States","Saint Clair Shores,Michigan,United States"
48082,US,505,"Detroit,Michigan,United States","Saint Clair Shores,Michigan,United States"
48083,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
48084,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
48085,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
48086,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48088,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48089,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48090,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48091,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48092,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48093,US,505,"Detroit,Michigan,United States","Warren,Michigan,United States"
48094,US,505,"Detroit,Michigan,United States","Washington,Michigan,United States"
48095,US,505,"Detroit,Michigan,United States","Washington,Michigan,United States"
48097,US,505,"Detroit,Michigan,United States","Yale,Michigan,United States"
48098,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
48099,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
