Postcode,CountryCode,Gma,GmaCanonicalName
41554,US,564,"Charleston-Huntington,WV"
41553,US,564,"Charleston-Huntington,WV"
41558,US,564,"Charleston-Huntington,WV"
41557,US,564,"Charleston-Huntington,WV"
28578,US,560,"Raleigh-Durham (Fayetteville),NC"
28579,US,545,"Greenville-New Bern-Washington,NC"
41555,US,564,"Charleston-Huntington,WV"
41559,US,564,"Charleston-Huntington,WV"
28572,US,545,"Greenville-New Bern-Washington,NC"
28573,US,545,"Greenville-New Bern-Washington,NC"
28570,US,545,"Greenville-New Bern-Washington,NC"
28571,US,545,"Greenville-New Bern-Washington,NC"
28577,US,545,"Greenville-New Bern-Washington,NC"
28574,US,545,"Greenville-New Bern-Washington,NC"
28575,US,545,"Greenville-New Bern-Washington,NC"
41543,US,564,"Charleston-Huntington,WV"
41540,US,564,"Charleston-Huntington,WV"
41547,US,564,"Charleston-Huntington,WV"
41544,US,564,"Charleston-Huntington,WV"
41548,US,564,"Charleston-Huntington,WV"
28584,US,545,"Greenville-New Bern-Washington,NC"
28581,US,545,"Greenville-New Bern-Washington,NC"
28582,US,545,"Greenville-New Bern-Washington,NC"
28587,US,545,"Greenville-New Bern-Washington,NC"
28585,US,545,"Greenville-New Bern-Washington,NC"
28586,US,545,"Greenville-New Bern-Washington,NC"
28580,US,545,"Greenville-New Bern-Washington,NC"
41531,US,564,"Charleston-Huntington,WV"
41535,US,564,"Charleston-Huntington,WV"
28556,US,545,"Greenville-New Bern-Washington,NC"
41534,US,564,"Charleston-Huntington,WV"
28557,US,545,"Greenville-New Bern-Washington,NC"
41539,US,564,"Charleston-Huntington,WV"
41537,US,531,"Tri-Cities,TN-VA"
28551,US,545,"Greenville-New Bern-Washington,NC"
28554,US,545,"Greenville-New Bern-Washington,NC"
28555,US,545,"Greenville-New Bern-Washington,NC"
28552,US,545,"Greenville-New Bern-Washington,NC"
28553,US,545,"Greenville-New Bern-Washington,NC"
41524,US,564,"Charleston-Huntington,WV"
41522,US,564,"Charleston-Huntington,WV"
41528,US,564,"Charleston-Huntington,WV"
41527,US,564,"Charleston-Huntington,WV"
41526,US,564,"Charleston-Huntington,WV"
28562,US,545,"Greenville-New Bern-Washington,NC"
28560,US,545,"Greenville-New Bern-Washington,NC"
41519,US,564,"Charleston-Huntington,WV"
16550,US,516,"Erie,PA"
41514,US,564,"Charleston-Huntington,WV"
28537,US,545,"Greenville-New Bern-Washington,NC"
41513,US,564,"Charleston-Huntington,WV"
41512,US,564,"Charleston-Huntington,WV"
41517,US,531,"Tri-Cities,TN-VA"
28538,US,545,"Greenville-New Bern-Washington,NC"
4568,US,500,"Portland-Auburn,ME"
28539,US,545,"Greenville-New Bern-Washington,NC"
4562,US,500,"Portland-Auburn,ME"
4563,US,500,"Portland-Auburn,ME"
4564,US,500,"Portland-Auburn,ME"
28532,US,545,"Greenville-New Bern-Washington,NC"
28530,US,545,"Greenville-New Bern-Washington,NC"
28531,US,545,"Greenville-New Bern-Washington,NC"
16565,US,516,"Erie,PA"
16563,US,516,"Erie,PA"
4558,US,500,"Portland-Auburn,ME"
28547,US,545,"Greenville-New Bern-Washington,NC"
41503,US,564,"Charleston-Huntington,WV"
41501,US,564,"Charleston-Huntington,WV"
28546,US,545,"Greenville-New Bern-Washington,NC"
4554,US,500,"Portland-Auburn,ME"
4555,US,500,"Portland-Auburn,ME"
4556,US,500,"Portland-Auburn,ME"
4551,US,500,"Portland-Auburn,ME"
28540,US,545,"Greenville-New Bern-Washington,NC"
4553,US,500,"Portland-Auburn,ME"
28543,US,545,"Greenville-New Bern-Washington,NC"
28544,US,545,"Greenville-New Bern-Washington,NC"
16531,US,516,"Erie,PA"
28515,US,545,"Greenville-New Bern-Washington,NC"
28512,US,545,"Greenville-New Bern-Washington,NC"
28513,US,545,"Greenville-New Bern-Washington,NC"
28518,US,545,"Greenville-New Bern-Washington,NC"
28519,US,545,"Greenville-New Bern-Washington,NC"
28516,US,545,"Greenville-New Bern-Washington,NC"
28510,US,545,"Greenville-New Bern-Washington,NC"
28511,US,545,"Greenville-New Bern-Washington,NC"
16534,US,516,"Erie,PA"
28525,US,545,"Greenville-New Bern-Washington,NC"
28526,US,545,"Greenville-New Bern-Washington,NC"
28523,US,545,"Greenville-New Bern-Washington,NC"
28524,US,545,"Greenville-New Bern-Washington,NC"
4576,US,500,"Portland-Auburn,ME"
28529,US,545,"Greenville-New Bern-Washington,NC"
4578,US,500,"Portland-Auburn,ME"
28527,US,545,"Greenville-New Bern-Washington,NC"
4579,US,500,"Portland-Auburn,ME"
28528,US,545,"Greenville-New Bern-Washington,NC"
4572,US,500,"Portland-Auburn,ME"
4573,US,500,"Portland-Auburn,ME"
4574,US,500,"Portland-Auburn,ME"
28521,US,545,"Greenville-New Bern-Washington,NC"
4571,US,500,"Portland-Auburn,ME"
28520,US,545,"Greenville-New Bern-Washington,NC"
16546,US,516,"Erie,PA"
87031,US,790,"Albuquerque-Santa Fe,NM"
63068,US,609,"St. Louis,MO"
99019,US,881,"Spokane,WA"
63069,US,609,"St. Louis,MO"
99016,US,881,"Spokane,WA"
75048,US,623,"Dallas-Ft. Worth,TX"
99018,US,881,"Spokane,WA"
99017,US,881,"Spokane,WA"
99012,US,881,"Spokane,WA"
75044,US,623,"Dallas-Ft. Worth,TX"
99011,US,881,"Spokane,WA"
75043,US,623,"Dallas-Ft. Worth,TX"
90680,US,803,"Los Angeles,CA"
99014,US,881,"Spokane,WA"
75042,US,623,"Dallas-Ft. Worth,TX"
99013,US,881,"Spokane,WA"
75041,US,623,"Dallas-Ft. Worth,TX"
75040,US,623,"Dallas-Ft. Worth,TX"
87038,US,790,"Albuquerque-Santa Fe,NM"
87036,US,790,"Albuquerque-Santa Fe,NM"
87037,US,790,"Albuquerque-Santa Fe,NM"
87034,US,790,"Albuquerque-Santa Fe,NM"
63060,US,609,"St. Louis,MO"
